0:UNKNOWN:Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>UNKNOWN</h1><h2>Keyevent Overview</h2><p>Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 0</code> and maps to the Android constant <code>KEYCODE_UNKNOWN</code>.</p><h2>Behavior Details</h2><p>Unknown key code This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
11:4:Number 4 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>4</h1><h2>Keyevent Overview</h2><p>Number 4 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 11</code> and maps to the Android constant <code>KEYCODE_4</code>.</p><h2>Behavior Details</h2><p>Number 4 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
12:5:Number 5 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>5</h1><h2>Keyevent Overview</h2><p>Number 5 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 12</code> and maps to the Android constant <code>KEYCODE_5</code>.</p><h2>Behavior Details</h2><p>Number 5 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
13:6:Number 6 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>6</h1><h2>Keyevent Overview</h2><p>Number 6 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 13</code> and maps to the Android constant <code>KEYCODE_6</code>.</p><h2>Behavior Details</h2><p>Number 6 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
14:7:Number 7 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>7</h1><h2>Keyevent Overview</h2><p>Number 7 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 14</code> and maps to the Android constant <code>KEYCODE_7</code>.</p><h2>Behavior Details</h2><p>Number 7 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
15:8:Number 8 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>8</h1><h2>Keyevent Overview</h2><p>Number 8 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 15</code> and maps to the Android constant <code>KEYCODE_8</code>.</p><h2>Behavior Details</h2><p>Number 8 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
16:9:Number 9 key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>9</h1><h2>Keyevent Overview</h2><p>Number 9 key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 16</code> and maps to the Android constant <code>KEYCODE_9</code>.</p><h2>Behavior Details</h2><p>Number 9 key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
17:STAR:Asterisk key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>STAR</h1><h2>Keyevent Overview</h2><p>Asterisk key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 17</code> and maps to the Android constant <code>KEYCODE_STAR</code>.</p><h2>Behavior Details</h2><p>Asterisk key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
18:POUND:Hash / pound key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>POUND</h1><h2>Keyevent Overview</h2><p>Hash / pound key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 18</code> and maps to the Android constant <code>KEYCODE_POUND</code>.</p><h2>Behavior Details</h2><p>Hash / pound key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
19:DPAD_UP:Directional pad up key. It is used to move focus or navigate within interfaces.:<h1>DPAD_UP</h1><h2>Keyevent Overview</h2><p>Directional pad up key. It is used to move focus or navigate within interfaces.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 19</code> and maps to the Android constant <code>KEYCODE_DPAD_UP</code>.</p><h2>Behavior Details</h2><p>Directional pad up key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
20:DPAD_DOWN:Directional pad down key. It is used to move focus or navigate within interfaces.:<h1>DPAD_DOWN</h1><h2>Keyevent Overview</h2><p>Directional pad down key. It is used to move focus or navigate within interfaces.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 20</code> and maps to the Android constant <code>KEYCODE_DPAD_DOWN</code>.</p><h2>Behavior Details</h2><p>Directional pad down key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
21:DPAD_LEFT:Directional pad left key. It is used to move focus or navigate within interfaces.:<h1>DPAD_LEFT</h1><h2>Keyevent Overview</h2><p>Directional pad left key. It is used to move focus or navigate within interfaces.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 21</code> and maps to the Android constant <code>KEYCODE_DPAD_LEFT</code>.</p><h2>Behavior Details</h2><p>Directional pad left key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
22:DPAD_RIGHT:Directional pad right key. It is used to move focus or navigate within interfaces.:<h1>DPAD_RIGHT</h1><h2>Keyevent Overview</h2><p>Directional pad right key. It is used to move focus or navigate within interfaces.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 22</code> and maps to the Android constant <code>KEYCODE_DPAD_RIGHT</code>.</p><h2>Behavior Details</h2><p>Directional pad right key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
23:DPAD_CENTER:Directional pad center / select key. It is used to move focus or navigate within interfaces.:<h1>DPAD_CENTER</h1><h2>Keyevent Overview</h2><p>Directional pad center / select key. It is used to move focus or navigate within interfaces.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 23</code> and maps to the Android constant <code>KEYCODE_DPAD_CENTER</code>.</p><h2>Behavior Details</h2><p>Directional pad center / select key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
24:VOLUME_UP:Volume up key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>VOLUME_UP</h1><h2>Keyevent Overview</h2><p>Volume up key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 24</code> and maps to the Android constant <code>KEYCODE_VOLUME_UP</code>.</p><h2>Behavior Details</h2><p>Volume up key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
25:VOLUME_DOWN:Volume down key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>VOLUME_DOWN</h1><h2>Keyevent Overview</h2><p>Volume down key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 25</code> and maps to the Android constant <code>KEYCODE_VOLUME_DOWN</code>.</p><h2>Behavior Details</h2><p>Volume down key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
26:POWER:Power key. This is often intercepted by the framework or the system UI on devices that reserve the action.:<h1>POWER</h1><h2>Keyevent Overview</h2><p>Power key. This is often intercepted by the framework or the system UI on devices that reserve the action.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 26</code> and maps to the Android constant <code>KEYCODE_POWER</code>.</p><h2>Behavior Details</h2><p>Power key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
27:CAMERA:Camera key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>CAMERA</h1><h2>Keyevent Overview</h2><p>Camera key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 27</code> and maps to the Android constant <code>KEYCODE_CAMERA</code>.</p><h2>Behavior Details</h2><p>Camera key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
28:CLEAR:Clear key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>CLEAR</h1><h2>Keyevent Overview</h2><p>Clear key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 28</code> and maps to the Android constant <code>KEYCODE_CLEAR</code>.</p><h2>Behavior Details</h2><p>Clear key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
29:A:Letter A key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>A</h1><h2>Keyevent Overview</h2><p>Letter A key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 29</code> and maps to the Android constant <code>KEYCODE_A</code>.</p><h2>Behavior Details</h2><p>Letter A key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
30:B:Letter B key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>B</h1><h2>Keyevent Overview</h2><p>Letter B key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 30</code> and maps to the Android constant <code>KEYCODE_B</code>.</p><h2>Behavior Details</h2><p>Letter B key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
31:C:Letter C key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>C</h1><h2>Keyevent Overview</h2><p>Letter C key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 31</code> and maps to the Android constant <code>KEYCODE_C</code>.</p><h2>Behavior Details</h2><p>Letter C key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
32:D:Letter D key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>D</h1><h2>Keyevent Overview</h2><p>Letter D key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 32</code> and maps to the Android constant <code>KEYCODE_D</code>.</p><h2>Behavior Details</h2><p>Letter D key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
33:E:Letter E key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>E</h1><h2>Keyevent Overview</h2><p>Letter E key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 33</code> and maps to the Android constant <code>KEYCODE_E</code>.</p><h2>Behavior Details</h2><p>Letter E key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
34:F:Letter F key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>F</h1><h2>Keyevent Overview</h2><p>Letter F key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 34</code> and maps to the Android constant <code>KEYCODE_F</code>.</p><h2>Behavior Details</h2><p>Letter F key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
35:G:Letter G key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>G</h1><h2>Keyevent Overview</h2><p>Letter G key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 35</code> and maps to the Android constant <code>KEYCODE_G</code>.</p><h2>Behavior Details</h2><p>Letter G key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
36:H:Letter H key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>H</h1><h2>Keyevent Overview</h2><p>Letter H key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 36</code> and maps to the Android constant <code>KEYCODE_H</code>.</p><h2>Behavior Details</h2><p>Letter H key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
37:I:Letter I key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>I</h1><h2>Keyevent Overview</h2><p>Letter I key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 37</code> and maps to the Android constant <code>KEYCODE_I</code>.</p><h2>Behavior Details</h2><p>Letter I key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
38:J:Letter J key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>J</h1><h2>Keyevent Overview</h2><p>Letter J key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 38</code> and maps to the Android constant <code>KEYCODE_J</code>.</p><h2>Behavior Details</h2><p>Letter J key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
